open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
386.1,392.12,376.04,391.16,2029560.0,392.12,376.04,391.16,386.1,2029672.0,1.0,0.0,SPOT,XNYS,2024-11-06
380.27,384.07,378.38,382.63,1019440.0,384.07,378.38,382.63,380.27,1019523.0,1.0,0.0,SPOT,XNYS,2024-11-05
380.94,383.745,377.11,377.73,1235306.0,383.745,377.11,377.73,380.94,1235306.0,1.0,0.0,SPOT,XNYS,2024-11-04
382.51,389.33,380.63,384.5,1545695.0,389.33,380.63,384.5,382.51,1545695.0,1.0,0.0,SPOT,XNYS,2024-11-01
390.08,393.74,381.67,385.1,1786507.0,393.74,381.67,385.1,390.08,1786507.0,1.0,0.0,SPOT,XNYS,2024-10-31
391.68,395.68,389.14,394.02,1345886.0,395.68,389.14,394.02,391.68,1345886.0,1.0,0.0,SPOT,XNYS,2024-10-30
386.7,397.195,384.22,391.23,1923330.0,397.195,384.22,391.23,386.7,1923330.0,1.0,0.0,SPOT,XNYS,2024-10-29
388.0,388.555,381.1,384.36,1301059.0,388.555,381.1,384.36,388.0,1301059.0,1.0,0.0,SPOT,XNYS,2024-10-28
376.7,382.9999,376.0,379.16,789763.0,382.9999,376.0,379.16,376.7,789763.0,1.0,0.0,SPOT,XNYS,2024-10-25
382.0,383.59,376.03,376.87,897584.0,383.59,376.03,376.87,382.0,897584.0,1.0,0.0,SPOT,XNYS,2024-10-24
387.63,388.73,378.9,379.84,1289776.0,388.73,378.9,379.84,387.63,1289776.0,1.0,0.0,SPOT,XNYS,2024-10-23
381.99,389.48,381.8,387.63,1945597.0,389.48,381.8,387.63,381.99,1945597.0,1.0,0.0,SPOT,XNYS,2024-10-22
377.43,382.55,376.06,381.97,1091979.0,382.55,376.06,381.97,377.43,1091979.0,1.0,0.0,SPOT,XNYS,2024-10-21
370.0,384.21,369.42,378.88,1680215.0,384.21,369.42,378.88,370.0,1680980.0,1.0,0.0,SPOT,XNYS,2024-10-18
372.38,373.9899,366.65,366.75,1242624.0,373.9899,366.65,366.75,372.38,1242624.0,1.0,0.0,SPOT,XNYS,2024-10-17
375.0,376.86,368.41,371.69,997206.0,376.86,368.41,371.69,375.0,997206.0,1.0,0.0,SPOT,XNYS,2024-10-16
373.61,374.2,364.2564,372.6,1085494.0,374.2,364.2564,372.6,373.61,1085494.0,1.0,0.0,SPOT,XNYS,2024-10-15
375.0,377.18,370.23,372.5,949663.0,377.18,370.23,372.5,375.0,949663.0,1.0,0.0,SPOT,XNYS,2024-10-14
379.11,380.0,373.39,373.7,1260659.0,380.0,373.39,373.7,379.11,1260659.0,1.0,0.0,SPOT,XNYS,2024-10-11
375.0,382.7675,375.0,378.0,1681037.0,382.7675,375.0,378.0,375.0,1681037.0,1.0,0.0,SPOT,XNYS,2024-10-10
370.0,376.14,368.35,373.98,1061222.0,376.14,368.35,373.98,370.0,1061222.0,1.0,0.0,SPOT,XNYS,2024-10-09
366.58,371.9528,365.03,370.38,1023544.0,371.9528,365.03,370.38,366.58,1023544.0,1.0,0.0,SPOT,XNYS,2024-10-08
369.36,371.0,362.31,362.95,1748862.0,371.0,362.31,362.95,369.36,1749213.0,1.0,0.0,SPOT,XNYS,2024-10-07
376.38,379.48,368.11,371.45,1095140.0,379.48,368.11,371.45,376.38,1095140.0,1.0,0.0,SPOT,XNYS,2024-10-04
372.57,376.69,371.74,372.6,946987.0,376.69,371.74,372.6,372.57,946987.0,1.0,0.0,SPOT,XNYS,2024-10-03
374.46,377.3679,371.53,374.75,1504724.0,377.3679,371.53,374.75,374.46,1504724.0,1.0,0.0,SPOT,XNYS,2024-10-02
370.49,375.66,367.93,375.4,1565937.0,375.66,367.93,375.4,370.49,1565937.0,1.0,0.0,SPOT,XNYS,2024-10-01
369.05,373.38,366.25,368.53,1553557.0,373.38,366.25,368.53,369.05,1553557.0,1.0,0.0,SPOT,XNYS,2024-09-30
376.76,377.41,365.91,369.2,2904197.0,377.41,365.91,369.2,376.76,2904197.0,1.0,0.0,SPOT,XNYS,2024-09-27
386.72,389.23,373.08,379.16,1781106.0,389.23,373.08,379.16,386.72,1781106.0,1.0,0.0,SPOT,XNYS,2024-09-26
377.8,386.96,375.711,383.96,1667501.0,386.96,375.711,383.96,377.8,1667501.0,1.0,0.0,SPOT,XNYS,2024-09-25
374.83,382.6,371.0,380.36,2547763.0,382.6,371.0,380.36,374.83,2547763.0,1.0,0.0,SPOT,XNYS,2024-09-24
367.0,371.11,363.53,369.01,1777830.0,371.11,363.53,369.01,367.0,1777830.0,1.0,0.0,SPOT,XNYS,2024-09-23
363.82,366.79,362.0,365.17,1434068.0,366.79,362.0,365.17,363.82,1434068.0,1.0,0.0,SPOT,XNYS,2024-09-20
350.0,368.29,348.96,360.22,2811760.0,368.29,348.96,360.22,350.0,2811760.0,1.0,0.0,SPOT,XNYS,2024-09-19
342.85,346.82,340.37,343.97,1150172.0,346.82,340.37,343.97,342.85,1150172.0,1.0,0.0,SPOT,XNYS,2024-09-18
341.04,346.98,339.28,342.15,950769.0,346.98,339.28,342.15,341.04,950769.0,1.0,0.0,SPOT,XNYS,2024-09-17
343.02,344.0,337.1501,338.83,1129750.0,344.0,337.1501,338.83,343.02,1129750.0,1.0,0.0,SPOT,XNYS,2024-09-16
337.79,344.5182,337.53,337.9,994441.0,344.5182,337.53,337.9,337.79,994441.0,1.0,0.0,SPOT,XNYS,2024-09-13
338.25,342.17,337.13,337.51,944148.0,342.17,337.13,337.51,338.25,944148.0,1.0,0.0,SPOT,XNYS,2024-09-12
328.11,337.23,326.0,336.66,1058835.0,337.23,326.0,336.66,328.11,1058835.0,1.0,0.0,SPOT,XNYS,2024-09-11
326.52,328.15,324.16,327.0,741454.0,328.15,324.16,327.0,326.52,741454.0,1.0,0.0,SPOT,XNYS,2024-09-10
324.5,329.04,322.35,324.07,828229.0,329.04,322.35,324.07,324.5,828229.0,1.0,0.0,SPOT,XNYS,2024-09-09
